ID,Name,Hours,Number,Street,Street_Address_1,Street_Address_2,City,Boro,State,ZIP,Details,TypeID,Latitude,Longitude,X,Y
22,Brooklyn Workforce1 Industrial & Transportation Career Center,Mon - Fri: 8:30 AM - 5:00 PM,140,58th Street,Brooklyn Army Terminal 140 58th Street,Building &quot;B&quot; Lobby,Brooklyn,3,NY,11220,The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.645199,-74.027196,976703,174341
23,East New York Workforce1 Career Center,Mon - Fri: 9:00 AM - 5:00 PM,2617,Atlantic Avenue,2617 Atlantic Avenue,,Brooklyn,3,NY,11207,"This center provides an array of career services for area residents, including specially designed workshops to serve out-of-school, out-of-work youth and individuals formerly acquainted with the criminal justice system. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.",2,40.675954,-73.897776,1012605,185561
24,NYS Department of Labor MetroTech Workforce1 Career Center,Mon - Fri: 8:00 AM - 4:30 PM,250,Schermerhorn Street,250 Schermerhorn Street,,Brooklyn,3,NY,11201,Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.688130,-73.984477,988555,189981
25,Sandy Recovery Workforce1 Career Center,Mon - Fri: 9:00 AM - 5:00 PM,1906,Mermaid Avenue,1906 Mermaid Avenue,2nd Floor,Brooklyn,3,NY,11224,The center connects Sandy-affected residents to recovery- and resiliency-related career opportunities and job training. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.576239,-73.986080,988117,149216
26,Flushing Workforce1 Career Center,Mon - Fri: 1:00 PM - 6:00 PM,41-17,Main Street,41-17 Main Street,3rd Floor,Flushing,4,NY,11355,Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.757822,-73.828913,1031648,215418
27,NYS Department of Labor Flushing Workforce1 Career Center,Mon - Fri: 8:30 AM - 5:00 PM,138-60,Barclay Avenue,138-60 Barclay Avenue,2nd Floor,Flushing,4,NY,11355,Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.758018,-73.825855,1032495,215491
28,Queens Workforce1 Career Center,Mon - Fri: 9:00 AM - 5:00 PM,168-25,Jamaica Avenue,168-25 Jamaica Avenue,2nd Floor,Jamaica,4,NY,11432,"Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.",2,40.707139,-73.791644,1042037.833333,196905.55555600001
29,Workforce1 Industrial & Transportation Career Center,Mon - Fri: 8:30 AM - 5:00 PM,168-46,91 Avenue,168-46 91 Avenue,2nd Floor,Jamaica,4,NY,11432,"The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.",2,40.707139,-73.791644,1041978.805556,197039.23611100001
30,NYS Department of Labor Lower Manhattan Workforce1 Career Center,Mon - Fri: 8:30 AM - 4:30 PM,75,Varick Street,75 Varick Street,2nd Floor,New York,1,NY,10013,Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.723439,-74.006819,982360,202845
31,Upper Manhattan Workforce1 Career Center,Closed,215,West 125th Street,215 West 125th Street,6th Floor,New York,1,NY,10027,"Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.",2,40.809693,-73.948939,998385,234274
32,Washington Heights Workforce1 Career Center,Mon - Fri: 8:30 AM - 5:00 PM,516,West 181st Street,516 West 181st Street,5th Floor,New York,1,NY,10033,"The center offers Global Talent Pipeline services, which support connections to employment and training for foreign-born New Yorkers. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.",2,40.848357,-73.932207,1003006,248364
33,Workforce1 Healthcare Career Center,Mon - Fri: 9:00 AM - 5:00 PM,14,Wall Street,14 Wall Street,17th Floor,New York,1,NY,10005,Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.707627,-74.010763,981286,197119
34,Rockaway Workforce1 Career Center,Mon - Fri: 8:30 AM - 5:00 PM,57-17,Rockaway Beach Blvd,57-17 Rockaway Beach Blvd,,Arverne,4,NY,11692,Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.590668,-73.787510,1043266,154544
35,Staten Island Workforce1 Career Center,Mon - Fri: 8:30 AM - 5:00 PM,120,Stuyvesant Place,120 Stuyvesant Place,3rd Floor,Staten Island,5,NY,10301,"Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.",2,40.643277,-74.077667,962772.38888900005,173634.24305600001
36,Staten Island Workforce1 Industrial & Transportation Career Center,Mon - Fri: 8:30 AM - 5:00 PM,1972,Richmond Terrace,1972 Richmond Terrace,,Staten Island,5,NY,10302,The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.638918,-74.129555,948294,172078
37,Long Island City Workforce1 Industrial & Transportation Career Center,Mon - Fri: 8:30 AM - 5:00 PM,47-10,Austell Place,47-10 Austell Place,,Long Island City,4,NY,11101,The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.,2,40.743403999999998,-73.941908999999995,1000291,210237
